chipID,endotype,sil_width
X22_01_2013_C05_1550.CEL,Mars1,0.055251092
X26_03_2013_C07_2966.CEL,Mars1,0.053360715
X26_03_2013_C05_2962.CEL,Mars1,0.053018962
X06_02_2013_C10_1036.CEL,Mars1,0.048511205
X03_04_2013_C05_2611.CEL,Mars1,0.045131377
X03_04_2013_A01_3213.CEL,Mars1,0.039023445
X07_03_2013_D07_349.CEL,Mars1,0.038026003
X13_02_2013_G08_2014.CEL,Mars1,0.037832275
X05_03_2013_H10_1383.CEL,Mars1,0.036549994
X26_03_2013_H04_3111.CEL,Mars1,0.027970161
X06_02_2013_F09_470.CEL,Mars1,0.009935511
X26_03_2013_E06_2694.CEL,Mars1,0.009501901
X19_03_2013_G02_1004.CEL,Mars2,0.417877957
X21_03_2013_D02_2622.CEL,Mars2,0.410215887
X13_03_2013_B02_2003.CEL,Mars2,0.405379963
X06_02_2013_B03_1373.CEL,Mars2,0.40251619
X13_02_2013_B12_1906.CEL,Mars2,0.400555328
X19_03_2013_B10_1456.CEL,Mars2,0.400146051
X21_03_2013_A06_2229.CEL,Mars2,0.39029356
X22_01_2013_B05_966.CEL,Mars2,0.388641194
X05_03_2013_D03_1668.CEL,Mars2,0.387551378
X27_03_2013_F09_3393.CEL,Mars2,0.383005666
X06_02_2013_G06_689.CEL,Mars2,0.375548709
X20_03_2013_H02_2329.CEL,Mars2,0.373738605
X07_03_2013_D08_1119.CEL,Mars2,0.369906397
X07_03_2013_G02_873.CEL,Mars2,0.367138357
X21_03_2013_E11_2491.CEL,Mars2,0.361291204
X06_02_2013_B08_878.CEL,Mars2,0.359836239
X19_03_2013_G10_231.CEL,Mars2,0.353675602
X26_03_2013_F07_3073.CEL,Mars2,0.346550651
X12_03_2013_C08_312.CEL,Mars2,0.33309739
X07_03_2013_H01_1281.CEL,Mars2,0.3328856
X19_03_2013_C10_533.CEL,Mars2,0.326753114
X26_03_2013_E08_2678.CEL,Mars2,0.322832471
X07_03_2013_D04_714.CEL,Mars2,0.320942447
X13_03_2013_G01_1251.CEL,Mars2,0.31686664
X21_03_2013_E03_2532.CEL,Mars2,0.3125721
X21_03_2013_B01_2118.CEL,Mars2,0.308803627
X12_03_2013_E04_1317.CEL,Mars2,0.307906344
X07_03_2013_C11_293.CEL,Mars2,0.302038805
X13_03_2013_C01_816.CEL,Mars2,0.296221165
X26_03_2013_D07_2733.CEL,Mars2,0.291376355
X26_03_2013_B09_1743.CEL,Mars2,0.291320216
X03_04_2013_B07_3252.CEL,Mars2,0.288792522
X13_03_2013_C06_474.CEL,Mars2,0.287206803
X22_01_2013_F10_699.CEL,Mars2,0.282933872
X12_03_2013_F05_950.CEL,Mars2,0.265473882
X20_03_2013_A07_1707.CEL,Mars2,0.265025629
X03_04_2013_B06_1793.CEL,Mars2,0.264000363
X06_02_2013_E11_1768.CEL,Mars2,0.259979191
X05_03_2013_E01_2221.CEL,Mars2,0.259837022
X27_03_2013_F04_3379.CEL,Mars2,0.257705622
X13_03_2013_B04_1611.CEL,Mars2,0.254980122
X21_03_2013_F09_2444.CEL,Mars2,0.254451522
X03_04_2013_B05_3273.CEL,Mars2,0.250687821
X20_03_2013_F05_922.CEL,Mars2,0.25045934
X21_03_2013_H11_2805.CEL,Mars2,0.240154071
X21_03_2013_G03_2384.CEL,Mars2,0.237890948
X21_03_2013_A05_2259.CEL,Mars2,0.233877309
X06_02_2013_F11_1498.CEL,Mars2,0.225497682
X06_02_2013_B06_2120.CEL,Mars2,0.223206977
X13_03_2013_F03_427.CEL,Mars2,0.221898377
X19_03_2013_G04_1070.CEL,Mars2,0.22026358
X27_03_2013_B11_570.CEL,Mars2,0.219797512
X07_03_2013_E06_2045.CEL,Mars2,0.21888776
X14_03_2013_A04_1822.CEL,Mars2,0.206124798
X05_03_2013_A10_408.CEL,Mars2,0.202104654
X21_03_2013_H02_2921.CEL,Mars2,0.199700676
X03_04_2013_D01_2761.CEL,Mars2,0.193124154
